signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20210816_163000_389,2021-08-16 16:30:00,AAPL,SELL,EXIT,MARKET,100,151.12,,,Take profit triggered,"{""ema_12"": 147.5614933515249, ""ema_26"": 145.52100187579936, ""rsi_14"": 68.6151008498944}","{""open"": 148.535, ""high"": 151.19, ""low"": 146.47, ""close"": 151.12, ""volume"": 103558782.0}",{},,
SIG_20210817_163000_390,2021-08-17 16:30:00,AAPL,BUY,ENTRY,MARKET,100,150.19,,,"EMA crossover: Fast(147.97) > Slow(145.87), RSI=64.7","{""ema_12"": 147.96587898975181, ""ema_26"": 145.8668535887031, ""rsi_14"": 64.72770065717322}","{""open"": 150.23, ""high"": 151.68, ""low"": 149.09, ""close"": 150.19, ""volume"": 92229735.0}",{},,
SIG_20210818_163000_391,2021-08-18 16:30:00,AAPL,SELL,EXIT,MARKET,100,146.36,,,Stop loss triggered,"{""ema_12"": 147.71882068363615, ""ema_26"": 145.90338295250285, ""rsi_14"": 51.72961724415514}","{""open"": 149.8, ""high"": 150.72, ""low"": 146.15, ""close"": 146.36, ""volume"": 86325990.0}",{},,
SIG_20210819_163000_392,2021-08-19 16:30:00,AAPL,BUY,ENTRY,MARKET,100,146.7,,,"EMA crossover: Fast(147.56) > Slow(145.96), RSI=52.6","{""ema_12"": 147.56207903999982, ""ema_26"": 145.96239162268782, ""rsi_14"": 52.63885232614125}","{""open"": 145.03, ""high"": 148.0, ""low"": 144.5, ""close"": 146.7, ""volume"": 86960310.0}",{},,
SIG_20210903_163000_393,2021-09-03 16:30:00,AAPL,SELL,EXIT,MARKET,100,154.3,,,Take profit triggered,"{""ema_12"": 151.05330827430495, ""ema_26"": 148.9297347975235, ""rsi_14"": 66.29927378952783}","{""open"": 153.76, ""high"": 154.63, ""low"": 153.09, ""close"": 154.3, ""volume"": 57866066.0}",{},,
SIG_20210908_163000_394,2021-09-08 16:30:00,AAPL,BUY,ENTRY,MARKET,100,155.11,,,"EMA crossover: Fast(152.41) > Slow(149.92), RSI=64.8","{""ema_12"": 152.41118521414734, ""ema_26"": 149.9197863490428, ""rsi_14"": 64.76380535498294}","{""open"": 156.98, ""high"": 157.04, ""low"": 153.975, ""close"": 155.11, ""volume"": 74420207.0}",{},,
SIG_20210910_163000_395,2021-09-10 16:30:00,AAPL,SELL,EXIT,MARKET,100,148.97,,,Stop loss triggered,"{""ema_12"": 152.09771249060253, ""ema_26"": 150.13408294671024, ""rsi_14"": 47.60218573479205}","{""open"": 155.0, ""high"": 155.48, ""low"": 148.7, ""close"": 148.97, ""volume"": 140893235.0}",{},,
SIG_20210913_163000_396,2021-09-13 16:30:00,AAPL,BUY,ENTRY,MARKET,100,149.55,,,"EMA crossover: Fast(151.71) > Slow(150.09), RSI=49.0","{""ema_12"": 151.70575672281754, ""ema_26"": 150.0908175432502, ""rsi_14"": 48.99398946559679}","{""open"": 150.63, ""high"": 151.42, ""low"": 148.75, ""close"": 149.55, ""volume"": 102404329.0}",{},,
SIG_20210917_163000_397,2021-09-17 16:30:00,AAPL,SELL,EXIT,MARKET,100,146.06,,,Stop loss triggered,"{""ema_12"": 149.82867071106656, ""ema_26"": 149.5197614840257, ""rsi_14"": 41.38161908921501}","{""open"": 148.82, ""high"": 148.82, ""low"": 145.76, ""close"": 146.06, ""volume"": 129868824.0}",{},,
SIG_20211020_163000_398,2021-10-20 16:30:00,AAPL,BUY,ENTRY,MARKET,100,149.26,,,"EMA crossover: Fast(145.15) > Slow(145.12), RSI=61.1","{""ema_12"": 145.15070560480183, ""ema_26"": 145.121675080925, ""rsi_14"": 61.062289795760705}","{""open"": 148.7, ""high"": 149.7539, ""low"": 148.12, ""close"": 149.26, ""volume"": 58418788.0}",{},,
SIG_20211118_173000_399,2021-11-18 17:30:00,AAPL,SELL,EXIT,MARKET,100,157.87,,,Take profit triggered,"{""ema_12"": 151.50570918648822, ""ema_26"": 149.82482992484583, ""rsi_14"": 71.29629081475971}","{""open"": 153.71, ""high"": 158.67, ""low"": 153.05, ""close"": 157.87, ""volume"": 137827673.0}",{},,
SIG_20211126_173000_400,2021-11-26 17:30:00,AAPL,BUY,ENTRY,MARKET,100,156.81,,,"EMA crossover: Fast(156.37) > Slow(153.15), RSI=59.1","{""ema_12"": 156.37107122998043, ""ema_26"": 153.1511812819487, ""rsi_14"": 59.12776187995884}","{""open"": 159.565, ""high"": 160.45, ""low"": 156.36, ""close"": 156.81, ""volume"": 76959752.0}",{},,
SIG_20211130_173000_401,2021-11-30 17:30:00,AAPL,SELL,EXIT,MARKET,100,165.3,,,Take profit triggered,"{""ema_12"": 158.2484001114061, ""ema_26"": 154.53729533774754, ""rsi_14"": 71.31169083057546}","{""open"": 159.985, ""high"": 165.52, ""low"": 159.92, ""close"": 165.3, ""volume"": 174048056.0}",{},,
SIG_20211201_173000_402,2021-12-01 17:30:00,AAPL,BUY,ENTRY,MARKET,100,164.77,,,"EMA crossover: Fast(159.25) > Slow(155.30), RSI=69.9","{""ema_12"": 159.25172317118978, ""ema_26"": 155.29527346087735, ""rsi_14"": 69.86984569995124}","{""open"": 167.48, ""high"": 170.3, ""low"": 164.53, ""close"": 164.77, ""volume"": 152423003.0}",{},,
SIG_20211208_173000_403,2021-12-08 17:30:00,AAPL,SELL,EXIT,MARKET,100,175.08,,,Take profit triggered,"{""ema_12"": 164.50484083579082, ""ema_26"": 159.3326538705269, ""rsi_14"": 76.34755889062747}","{""open"": 172.125, ""high"": 175.96, ""low"": 170.7, ""close"": 175.08, ""volume"": 116998901.0}",{},,
SIG_20211214_173000_404,2021-12-14 17:30:00,AAPL,BUY,ENTRY,MARKET,100,174.33,,,"EMA crossover: Fast(170.06) > Slow(163.74), RSI=67.4","{""ema_12"": 170.06236247599222, ""ema_26"": 163.74188893625933, ""rsi_14"": 67.39616613208483}","{""open"": 175.25, ""high"": 177.74, ""low"": 172.21, ""close"": 174.33, ""volume"": 139380382.0}",{},,
SIG_20211220_173000_405,2021-12-20 17:30:00,AAPL,SELL,EXIT,MARKET,100,169.75,,,Stop loss triggered,"{""ema_12"": 171.2576460561956, ""ema_26"": 166.15015940758485, ""rsi_14"": 55.617581077037826}","{""open"": 168.28, ""high"": 170.58, ""low"": 167.46, ""close"": 169.75, ""volume"": 107499114.0}",{},,
SIG_20211221_173000_406,2021-12-21 17:30:00,AAPL,BUY,ENTRY,MARKET,100,172.99,,,"EMA crossover: Fast(171.52) > Slow(166.66), RSI=59.4","{""ema_12"": 171.52416204755013, ""ema_26"": 166.65681426628228, ""rsi_14"": 59.38438416584514}","{""open"": 171.555, ""high"": 173.2, ""low"": 169.12, ""close"": 172.99, ""volume"": 91185905.0}",{},,
SIG_20220103_173000_407,2022-01-03 17:30:00,AAPL,SELL,EXIT,MARKET,100,182.01,,,Take profit triggered,"{""ema_12"": 177.05721178385718, ""ema_26"": 172.23843165077216, ""rsi_14"": 66.60004365822158}","{""open"": 177.83, ""high"": 182.88, ""low"": 177.71, ""close"": 182.01, ""volume"": 104701220.0}",{},,
SIG_20220104_173000_408,2022-01-04 17:30:00,AAPL,BUY,ENTRY,MARKET,100,179.7,,,"EMA crossover: Fast(177.46) > Slow(172.79), RSI=61.9","{""ema_12"": 177.4637945863407, ""ema_26"": 172.79114041738163, ""rsi_14"": 61.901250523141215}","{""open"": 182.63, ""high"": 182.94, ""low"": 179.12, ""close"": 179.7, ""volume"": 99310438.0}",{},,
SIG_20220105_173000_409,2022-01-05 17:30:00,AAPL,SELL,EXIT,MARKET,100,174.92,,,Stop loss triggered,"{""ema_12"": 177.07244157305752, ""ema_26"": 172.9488337197978, ""rsi_14"": 53.49126446244983}","{""open"": 179.61, ""high"": 180.17, ""low"": 174.64, ""close"": 174.92, ""volume"": 94537602.0}",{},,
SIG_20220106_173000_410,2022-01-06 17:30:00,AAPL,BUY,ENTRY,MARKET,100,172.0,,,"EMA crossover: Fast(176.29) > Slow(172.88), RSI=49.1","{""ema_12"": 176.2920659464333, ""ema_26"": 172.8785497405535, ""rsi_14"": 49.10252947855579}","{""open"": 172.7, ""high"": 175.3, ""low"": 171.64, ""close"": 172.0, ""volume"": 96903955.0}",{},,
SIG_20220119_173000_411,2022-01-19 17:30:00,AAPL,SELL,EXIT,MARKET,100,166.23,,,Stop loss triggered,"{""ema_12"": 172.59214001554764, ""ema_26"": 172.3391657438652, ""rsi_14"": 39.99969094070706}","{""open"": 170.0, ""high"": 171.08, ""low"": 165.94, ""close"": 166.23, ""volume"": 94814990.0}",{},,
SIG_20220203_173000_412,2022-02-03 17:30:00,AAPL,BUY,ENTRY,MARKET,100,172.9,,,"EMA crossover: Fast(170.05) > Slow(169.94), RSI=54.7","{""ema_12"": 170.05123131577787, ""ema_26"": 169.9389713973967, ""rsi_14"": 54.72301664824748}","{""open"": 174.48, ""high"": 176.2399, ""low"": 172.12, ""close"": 172.9, ""volume"": 89418074.0}",{},,
SIG_20220211_173000_413,2022-02-11 17:30:00,AAPL,SELL,EXIT,MARKET,100,168.64,,,Stop loss triggered,"{""ema_12"": 171.5178724248278, ""ema_26"": 170.89991228568593, ""rsi_14"": 46.480655396843595}","{""open"": 172.33, ""high"": 173.08, ""low"": 168.04, ""close"": 168.64, ""volume"": 98670687.0}",{},,
SIG_20220214_173000_414,2022-02-14 17:30:00,AAPL,BUY,ENTRY,MARKET,100,168.88,,,"EMA crossover: Fast(171.11) > Slow(170.75), RSI=46.9","{""ema_12"": 171.1120458979312, ""ema_26"": 170.7502891534129, ""rsi_14"": 46.88582801040967}","{""open"": 167.37, ""high"": 169.58, ""low"": 166.56, ""close"": 168.88, ""volume"": 86185530.0}",{},,
SIG_20220218_173000_415,2022-02-18 17:30:00,AAPL,SELL,EXIT,MARKET,100,167.3,,,Exit condition met,"{""ema_12"": 170.54979811601874, ""ema_26"": 170.6006678080011, ""rsi_14"": 44.462682510392774}","{""open"": 169.82, ""high"": 170.5413, ""low"": 166.19, ""close"": 167.3, ""volume"": 82772674.0}",{},,
