signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20240724_163000_117,2024-07-24 16:30:00,MSFT,SELL,EXIT,MARKET,100,428.9,,,EMA crossover detected (Fast: 444.80 < Slow: 445.49),"{""ema_fast"": 444.8028042241075, ""ema_slow"": 445.48778870347905, ""rsi"": 36.980921525248924}","{""open"": 440.45, ""high"": 441.48, ""low"": 427.585, ""close"": 428.9, ""volume"": 26805800.0}",{},,
SIG_20240913_163000_118,2024-09-13 16:30:00,MSFT,BUY,ENTRY,MARKET,100,430.59,,,"EMA crossover detected (Fast: 417.37 > Slow: 417.28), RSI: 61.62","{""ema_fast"": 417.3727928603112, ""ema_slow"": 417.2793740912346, ""rsi"": 61.619869449665224}","{""open"": 425.825, ""high"": 431.83, ""low"": 425.46, ""close"": 430.59, ""volume"": 15874555.0}",{},,
SIG_20241004_163000_119,2024-10-04 16:30:00,MSFT,SELL,EXIT,MARKET,100,416.06,,,EMA crossover detected (Fast: 423.43 < Slow: 423.49),"{""ema_fast"": 423.43252256749594, ""ema_slow"": 423.48986494911156, ""rsi"": 42.030640130817645}","{""open"": 418.24, ""high"": 419.75, ""low"": 414.97, ""close"": 416.06, ""volume"": 19190913.0}",{},,
SIG_20241024_163000_120,2024-10-24 16:30:00,MSFT,BUY,ENTRY,MARKET,100,424.73,,,"EMA crossover detected (Fast: 421.09 > Slow: 420.92), RSI: 55.05","{""ema_fast"": 421.0914728617526, ""ema_slow"": 420.92340214455083, ""rsi"": 55.05113654402661}","{""open"": 425.325, ""high"": 425.9782, ""low"": 422.4, ""close"": 424.73, ""volume"": 13581631.0}",{},,
SIG_20241101_163000_121,2024-11-01 16:30:00,MSFT,SELL,EXIT,MARKET,100,410.37,,,EMA crossover detected (Fast: 420.70 < Slow: 421.20),"{""ema_fast"": 420.69969141816864, ""ema_slow"": 421.20045269566776, ""rsi"": 40.65999905635205}","{""open"": 409.01, ""high"": 415.5, ""low"": 407.5, ""close"": 410.37, ""volume"": 24230442.0}",{},,
SIG_20241113_173000_122,2024-11-13 17:30:00,MSFT,BUY,ENTRY,MARKET,100,425.2,,,"EMA crossover detected (Fast: 420.80 > Slow: 420.67), RSI: 54.01","{""ema_fast"": 420.8025134577026, ""ema_slow"": 420.6718542385333, ""rsi"": 54.01326581899843}","{""open"": 421.64, ""high"": 429.325, ""low"": 418.21, ""close"": 425.2, ""volume"": 21502185.0}",{},,
SIG_20241118_173000_123,2024-11-18 17:30:00,MSFT,SELL,EXIT,MARKET,100,415.76,,,EMA crossover detected (Fast: 419.94 < Slow: 420.31),"{""ema_fast"": 419.9419232645435, ""ema_slow"": 420.31389028486933, ""rsi"": 46.01064320367356}","{""open"": 414.87, ""high"": 418.4037, ""low"": 412.1, ""close"": 415.76, ""volume"": 24742013.0}",{},,
SIG_20241127_173000_124,2024-11-27 17:30:00,MSFT,BUY,ENTRY,MARKET,100,422.99,,,"EMA crossover detected (Fast: 420.08 > Slow: 419.98), RSI: 52.69","{""ema_fast"": 420.08113187193, ""ema_slow"": 419.98066333735403, ""rsi"": 52.686930810725116}","{""open"": 425.105, ""high"": 427.2299, ""low"": 422.02, ""close"": 422.99, ""volume"": 18332444.0}",{},,
SIG_20250102_173000_125,2025-01-02 17:30:00,MSFT,SELL,EXIT,MARKET,100,418.58,,,EMA crossover detected (Fast: 431.62 < Slow: 432.84),"{""ema_fast"": 431.623081462527, ""ema_slow"": 432.84470991589535, ""rsi"": 36.039480378608715}","{""open"": 425.53, ""high"": 426.07, ""low"": 414.85, ""close"": 418.58, ""volume"": 16896469.0}",{},,
SIG_20250123_173000_126,2025-01-23 17:30:00,MSFT,BUY,ENTRY,MARKET,100,446.71,,,"EMA crossover detected (Fast: 431.47 > Slow: 430.37), RSI: 63.93","{""ema_fast"": 431.4699865296246, ""ema_slow"": 430.36936589299165, ""rsi"": 63.92848808387684}","{""open"": 442.0, ""high"": 446.75, ""low"": 441.5048, ""close"": 446.71, ""volume"": 18389270.0}",{},,
SIG_20250131_173000_127,2025-01-31 17:30:00,MSFT,SELL,EXIT,MARKET,100,415.06,,,EMA crossover detected (Fast: 430.55 < Slow: 430.85),"{""ema_fast"": 430.54623160900053, ""ema_slow"": 430.8481327914711, ""rsi"": 40.48014529354933}","{""open"": 418.98, ""high"": 420.69, ""low"": 414.91, ""close"": 415.06, ""volume"": 34223388.0}",{},,
SIG_20250429_163000_128,2025-04-29 16:30:00,MSFT,BUY,ENTRY,MARKET,100,394.04,,,"EMA crossover detected (Fast: 382.34 > Slow: 382.13), RSI: 56.96","{""ema_fast"": 382.3437985237235, ""ema_slow"": 382.13174963448483, ""rsi"": 56.964784646860664}","{""open"": 391.3, ""high"": 395.1, ""low"": 390.38, ""close"": 394.04, ""volume"": 14973976.0}",{},,
SIG_20250731_163000_129,2025-07-31 16:30:00,MSFT,SELL,EXIT,MARKET,100,533.5,,,RSI overbought: 81.74 > 80,"{""ema_fast"": 512.8427274405896, ""ema_slow"": 503.28263340107213, ""rsi"": 81.7362377916646}","{""open"": 555.225, ""high"": 555.45, ""low"": 531.9, ""close"": 533.5, ""volume"": 51617326.0}",{},,
SIG_20250919_163000_130,2025-09-19 16:30:00,MSFT,BUY,ENTRY,MARKET,100,517.93,,,"EMA crossover detected (Fast: 508.80 > Slow: 508.38), RSI: 58.99","{""ema_fast"": 508.8029349451171, ""ema_slow"": 508.38358712627644, ""rsi"": 58.98699832905901}","{""open"": 510.56, ""high"": 519.3, ""low"": 510.31, ""close"": 517.93, ""volume"": 52474093.0}",{},,
SIG_20251106_173000_131,2025-11-06 17:30:00,MSFT,SELL,EXIT,MARKET,100,497.1,,,EMA crossover detected (Fast: 516.44 < Slow: 517.55),"{""ema_fast"": 516.4375038431616, ""ema_slow"": 517.5472532086096, ""rsi"": 34.09223681837882}","{""open"": 505.66, ""high"": 505.7, ""low"": 495.81, ""close"": 497.1, ""volume"": 27406496.0}",{},,
