signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20151022_163000_56,2015-10-22 16:30:00,AAPL,BUY,ENTRY,MARKET,100,28.875,,,"EMA crossover detected (Fast: 28.15 > Slow: 28.11), RSI: 59.20","{""ema_fast"": 28.145791661342866, ""ema_slow"": 28.106185569958114, ""rsi"": 59.201621254700456}","{""open"": 28.5825, ""high"": 28.875, ""low"": 28.525, ""close"": 28.875, ""volume"": 166616356.0}",{},,
SIG_20151211_173000_57,2015-12-11 17:30:00,AAPL,SELL,EXIT,MARKET,100,28.295,,,EMA crossover detected (Fast: 29.14 < Slow: 29.20),"{""ema_fast"": 29.136118453815573, ""ema_slow"": 29.19511735956001, ""rsi"": 40.50153024949805}","{""open"": 28.7975, ""high"": 28.8475, ""low"": 28.21275, ""close"": 28.295, ""volume"": 187544644.0}",{},,
SIG_20160303_173000_58,2016-03-03 17:30:00,AAPL,BUY,ENTRY,MARKET,100,25.375,,,"EMA crossover detected (Fast: 24.53 > Slow: 24.46), RSI: 60.70","{""ema_fast"": 24.529003189045834, ""ema_slow"": 24.459333792804962, ""rsi"": 60.70249452888409}","{""open"": 25.145, ""high"": 25.427475, ""low"": 25.1125, ""close"": 25.375, ""volume"": 147822968.0}",{},,
SIG_20160427_163000_59,2016-04-27 16:30:00,AAPL,SELL,EXIT,MARKET,100,24.455,,,EMA crossover detected (Fast: 26.39 < Slow: 26.55),"{""ema_fast"": 26.394230530668093, ""ema_slow"": 26.552354685369302, ""rsi"": 26.5776598087319}","{""open"": 24.0, ""high"": 24.6775, ""low"": 23.92, ""close"": 24.455, ""volume"": 458408568.0}",{},,
SIG_20160607_163000_60,2016-06-07 16:30:00,AAPL,BUY,ENTRY,MARKET,100,24.7575,,,"EMA crossover detected (Fast: 24.51 > Slow: 24.49), RSI: 54.21","{""ema_fast"": 24.509914721516964, ""ema_slow"": 24.491175302812888, ""rsi"": 54.207121524209725}","{""open"": 24.8125, ""high"": 24.9675, ""low"": 24.74, ""close"": 24.7575, ""volume"": 89637800.0}",{},,
SIG_20160615_163000_61,2016-06-15 16:30:00,AAPL,SELL,EXIT,MARKET,100,24.285,,,EMA crossover detected (Fast: 24.50 < Slow: 24.51),"{""ema_fast"": 24.502366893731512, ""ema_slow"": 24.505283103143526, ""rsi"": 45.67473386462288}","{""open"": 24.455, ""high"": 24.6025, ""low"": 24.2575, ""close"": 24.285, ""volume"": 117780908.0}",{},,
SIG_20160714_163000_62,2016-07-14 16:30:00,AAPL,BUY,ENTRY,MARKET,100,24.6975,,,"EMA crossover detected (Fast: 24.14 > Slow: 24.12), RSI: 60.27","{""ema_fast"": 24.144184135122593, ""ema_slow"": 24.11610652891003, ""rsi"": 60.27110485255559}","{""open"": 24.3475, ""high"": 24.7475, ""low"": 24.33, ""close"": 24.6975, ""volume"": 155675988.0}",{},,
SIG_20161103_163000_63,2016-11-03 16:30:00,AAPL,SELL,EXIT,MARKET,100,27.4575,,,EMA crossover detected (Fast: 28.42 < Slow: 28.50),"{""ema_fast"": 28.42162187469572, ""ema_slow"": 28.503696992492642, ""rsi"": 32.25536684428857}","{""open"": 27.745, ""high"": 27.865, ""low"": 27.3875, ""close"": 27.4575, ""volume"": 107730408.0}",{},,
SIG_20161212_173000_64,2016-12-12 17:30:00,AAPL,BUY,ENTRY,MARKET,100,28.325,,,"EMA crossover detected (Fast: 27.87 > Slow: 27.83), RSI: 58.08","{""ema_fast"": 27.871518684714072, ""ema_slow"": 27.83165025680712, ""rsi"": 58.0838862821523}","{""open"": 28.3225, ""high"": 28.75, ""low"": 28.1225, ""close"": 28.325, ""volume"": 105497508.0}",{},,
SIG_20170201_173000_65,2017-02-01 17:30:00,AAPL,SELL,EXIT,MARKET,100,32.1875,,,RSI overbought: 86.23 > 80,"{""ema_fast"": 30.470852044304053, ""ema_slow"": 29.93425919718608, ""rsi"": 86.22770831840177}","{""open"": 31.7575, ""high"": 32.6225, ""low"": 31.7525, ""close"": 32.1875, ""volume"": 447940160.0}",{},,
SIG_20170718_163000_66,2017-07-18 16:30:00,AAPL,BUY,ENTRY,MARKET,100,37.52,,,"EMA crossover detected (Fast: 36.76 > Slow: 36.73), RSI: 60.75","{""ema_fast"": 36.76404277816146, ""ema_slow"": 36.72851236251879, ""rsi"": 60.75211453413066}","{""open"": 37.3, ""high"": 37.5325, ""low"": 37.1675, ""close"": 37.52, ""volume"": 71475168.0}",{},,
SIG_20170921_163000_67,2017-09-21 16:30:00,AAPL,SELL,EXIT,MARKET,100,38.3475,,,EMA crossover detected (Fast: 39.60 < Slow: 39.67),"{""ema_fast"": 39.598785409494646, ""ema_slow"": 39.66738606447364, ""rsi"": 36.167576734652016}","{""open"": 38.95, ""high"": 38.95, ""low"": 38.1875, ""close"": 38.3475, ""volume"": 150046644.0}",{},,
SIG_20171017_163000_68,2017-10-17 16:30:00,AAPL,BUY,ENTRY,MARKET,100,40.1175,,,"EMA crossover detected (Fast: 39.24 > Slow: 39.16), RSI: 63.19","{""ema_fast"": 39.24057363076439, ""ema_slow"": 39.15872139518124, ""rsi"": 63.19343268396115}","{""open"": 39.945, ""high"": 40.2175, ""low"": 39.8075, ""close"": 40.1175, ""volume"": 75989100.0}",{},,
SIG_20180129_173000_69,2018-01-29 17:30:00,AAPL,SELL,EXIT,MARKET,100,41.99,,,EMA crossover detected (Fast: 43.42 < Slow: 43.45),"{""ema_fast"": 43.42479680308778, ""ema_slow"": 43.449058847121435, ""rsi"": 34.56783673329015}","{""open"": 42.54, ""high"": 42.54, ""low"": 41.7675, ""close"": 41.99, ""volume"": 202561624.0}",{},,
SIG_20180222_173000_70,2018-02-22 17:30:00,AAPL,BUY,ENTRY,MARKET,100,43.125,,,"EMA crossover detected (Fast: 42.12 > Slow: 42.12), RSI: 56.59","{""ema_fast"": 42.12196378298979, ""ema_slow"": 42.120934502338066, ""rsi"": 56.592286047157614}","{""open"": 42.95, ""high"": 43.4875, ""low"": 42.9275, ""close"": 43.125, ""volume"": 123967760.0}",{},,
SIG_20180323_163000_71,2018-03-23 16:30:00,AAPL,SELL,EXIT,MARKET,100,41.235,,,EMA crossover detected (Fast: 43.36 < Slow: 43.45),"{""ema_fast"": 43.360123566481846, ""ema_slow"": 43.45142767152092, ""rsi"": 33.127413140681696}","{""open"": 42.0975, ""high"": 42.48, ""low"": 41.235, ""close"": 41.235, ""volume"": 164115136.0}",{},,
SIG_20180416_163000_72,2018-04-16 16:30:00,AAPL,BUY,ENTRY,MARKET,100,43.955,,,"EMA crossover detected (Fast: 43.14 > Slow: 43.08), RSI: 56.47","{""ema_fast"": 43.14396956632702, ""ema_slow"": 43.08198718769927, ""rsi"": 56.46630841229345}","{""open"": 43.757525, ""high"": 44.0475, ""low"": 43.707525, ""close"": 43.955, ""volume"": 86313680.0}",{},,
SIG_20180423_163000_73,2018-04-23 16:30:00,AAPL,SELL,EXIT,MARKET,100,41.31,,,EMA crossover detected (Fast: 42.88 < Slow: 43.01),"{""ema_fast"": 42.879206348157744, ""ema_slow"": 43.00642174695785, ""rsi"": 39.10007500497427}","{""open"": 41.7087, ""high"": 41.73, ""low"": 41.0225, ""close"": 41.31, ""volume"": 146061908.0}",{},,
SIG_20180504_163000_74,2018-05-04 16:30:00,AAPL,BUY,ENTRY,MARKET,100,45.9575,,,"EMA crossover detected (Fast: 43.05 > Slow: 42.85), RSI: 66.92","{""ema_fast"": 43.050046284366076, ""ema_slow"": 42.85065424156593, ""rsi"": 66.91880028505078}","{""open"": 44.5625, ""high"": 46.0625, ""low"": 44.5425, ""close"": 45.9575, ""volume"": 224805268.0}",{},,
SIG_20180626_163000_75,2018-06-26 16:30:00,AAPL,SELL,EXIT,MARKET,100,46.1075,,,EMA crossover detected (Fast: 46.67 < Slow: 46.72),"{""ema_fast"": 46.6663797119383, ""ema_slow"": 46.71703947869226, ""rsi"": 43.628409492617955}","{""open"": 45.7475, ""high"": 46.6325, ""low"": 45.635, ""close"": 46.1075, ""volume"": 98276804.0}",{},,
SIG_20180709_163000_76,2018-07-09 16:30:00,AAPL,BUY,ENTRY,MARKET,100,47.645,,,"EMA crossover detected (Fast: 46.70 > Slow: 46.67), RSI: 59.30","{""ema_fast"": 46.698380203192315, ""ema_slow"": 46.674878357801276, ""rsi"": 59.3031054668569}","{""open"": 47.375, ""high"": 47.67, ""low"": 47.325, ""close"": 47.645, ""volume"": 79026536.0}",{},,
SIG_20180817_163000_77,2018-08-17 16:30:00,AAPL,SELL,EXIT,MARKET,100,54.395,,,RSI overbought: 80.10 > 80,"{""ema_fast"": 52.14146990812806, ""ema_slow"": 50.641142296615755, ""rsi"": 80.10002204373085}","{""open"": 53.36, ""high"": 54.4875, ""low"": 53.29, ""close"": 54.395, ""volume"": 141707988.0}",{},,
SIG_20190201_173000_78,2019-02-01 17:30:00,AAPL,BUY,ENTRY,MARKET,100,41.63,,,"EMA crossover detected (Fast: 39.80 > Slow: 39.75), RSI: 59.78","{""ema_fast"": 39.80122943254271, ""ema_slow"": 39.7482490424251, ""rsi"": 59.78184336135286}","{""open"": 41.74, ""high"": 42.245, ""low"": 41.4825, ""close"": 41.63, ""volume"": 130672552.0}",{},,
SIG_20190321_163000_79,2019-03-21 16:30:00,AAPL,SELL,EXIT,MARKET,100,48.7725,,,RSI overbought: 80.47 > 80,"{""ema_fast"": 46.04996808964494, ""ema_slow"": 44.656744681563694, ""rsi"": 80.46535365975829}","{""open"": 47.505, ""high"": 49.0825, ""low"": 47.4525, ""close"": 48.7725, ""volume"": 204136948.0}",{},,
SIG_20190614_163000_80,2019-06-14 16:30:00,AAPL,BUY,ENTRY,MARKET,100,48.185,,,"EMA crossover detected (Fast: 47.26 > Slow: 47.21), RSI: 56.15","{""ema_fast"": 47.26272846426147, ""ema_slow"": 47.20933815391725, ""rsi"": 56.147533851910445}","{""open"": 47.88625, ""high"": 48.396575, ""low"": 47.575, ""close"": 48.185, ""volume"": 75045896.0}",{},,
SIG_20190812_163000_81,2019-08-12 16:30:00,AAPL,SELL,EXIT,MARKET,100,50.12,,,EMA crossover detected (Fast: 50.61 < Slow: 50.65),"{""ema_fast"": 50.61314436649879, ""ema_slow"": 50.65082559958349, ""rsi"": 47.170923564131094}","{""open"": 49.905, ""high"": 50.5129, ""low"": 49.7875, ""close"": 50.12, ""volume"": 89927556.0}",{},,
SIG_20190813_163000_82,2019-08-13 16:30:00,AAPL,BUY,ENTRY,MARKET,100,52.2425,,,"EMA crossover detected (Fast: 50.86 > Slow: 50.77), RSI: 57.19","{""ema_fast"": 50.86381446396051, ""ema_slow"": 50.76872740702175, ""rsi"": 57.187689739907825}","{""open"": 50.255, ""high"": 53.035, ""low"": 50.2075, ""close"": 52.2425, ""volume"": 190159144.0}",{},,
SIG_20191113_173000_83,2019-11-13 17:30:00,AAPL,SELL,EXIT,MARKET,100,66.1175,,,RSI overbought: 80.79 > 80,"{""ema_fast"": 64.13051046783758, ""ema_slow"": 61.92583736829814, ""rsi"": 80.78813548742282}","{""open"": 65.2825, ""high"": 66.195, ""low"": 65.2675, ""close"": 66.1175, ""volume"": 103270372.0}",{},,
SIG_20200415_163000_84,2020-04-15 16:30:00,AAPL,BUY,ENTRY,MARKET,100,71.1075,,,"EMA crossover detected (Fast: 66.63 > Slow: 66.36), RSI: 58.05","{""ema_fast"": 66.63176461582336, ""ema_slow"": 66.36490466120011, ""rsi"": 58.04856160475035}","{""open"": 70.6, ""high"": 71.5825, ""low"": 70.1575, ""close"": 71.1075, ""volume"": 131154564.0}",{},,
SIG_20200610_163000_85,2020-06-10 16:30:00,AAPL,SELL,EXIT,MARKET,100,88.21,,,RSI overbought: 80.32 > 80,"{""ema_fast"": 82.50284373694639, ""ema_slow"": 79.51165530696548, ""rsi"": 80.31507329863543}","{""open"": 86.975, ""high"": 88.6925, ""low"": 86.5225, ""close"": 88.21, ""volume"": 166651752.0}",{},,
